display_name,product_material,color,size,price,product_url,image_links,brand_name,description,scrapped_date,low_level,gender,secondhand
Hex Knit Dress,Hand wash + dry flat,Corvette,"['XS', 'S', 'M', 'L', 'XL']",USD148.00,https://www.thereformation.com/products/hex-knit-dress/1306448CVT.html?dwvar_1306448CVT_color=CVT,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1306448/CORVETTE/1306448.1.CORVETTE.jpg'],Reformation,Make an impressive exit. The Hex is fitted throughout with a straight neckline and non-adjustable straps. It features an open back that has a twist detail. It's tight-fitting in the waist for some extra definition.,2022-06-01,Knit Dresses,women,False
Lorelei Dress,"Viscose – aka rayon – is a man-made cellulosic fiber made from wood pulp. We’re committed to ensuring all our forest-based products come from sustainably managed forests. That’s why we work with the non-profit group Canopy to help drive positive change for all our forest products. This is a lightweight drapey crepe fabric with a dry hand feel - 53% viscose, 47% rayon. Dry clean only",Flame,"['0', '2', '4', '6', '8', '10', '12']",USD198.00,https://www.thereformation.com/products/lorelei-dress/1310903FLM.html?dwvar_1310903FLM_color=FLM,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310903/FLAME/1310903.1.FLAME.jpg'],Reformation,"A reasonable amount of buttons. The Lorelei is a mini dress with a sweetheart neckline and button front. It features gathered tank straps and a bustier seam detail. The dress is fitted in the bodice with a relaxed fitting skirt, so you get structure and comfort all in one.",2022-06-01,Short Dresses,women,False
Nadira Dress,Viscose – aka rayon – is a man-made cellulosic fiber made from wood pulp. We’re committed to ensuring all our forest-based products come from sustainably managed forests. That’s why we work with the non-profit group Canopy to help drive positive change for all our forest products. This is a lightweight georgette fabric with a dry handfeel - 100% Viscose. Dry clean only,Canopy,"['0', '2', '4']",USD278.00,https://www.thereformation.com/products/nadira-dress/1310624CYN.html?dwvar_1310624CYN_color=CYN,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310624/CANOPY/1310624.1.CANOPY.jpg'],Reformation,"House specialty. The Nadira is a midi length dress with a sweetheart neckline. It features tie straps and back smocking for a little extra stretch. It has a bustier seam detail, which creates a more fitted feel.",2022-06-01,Dresses,women,False
Lissa Dress,"Organic cotton doesn’t allow genetically modified seeds and restricts the use of many chemicals. It still uses water and land but it helps sustain the land it is grown on through crop rotations and natural ways of controlling pesticides. This is a stretch poplin fabric made with 98% Organically Grown Cotton, 2% Spandex. Dry clean only",Countryside,"['0', '2']",USD278.00,https://www.thereformation.com/products/lissa-dress/1308286CSW.html?dwvar_1308286CSW_color=CSW,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1308286/COUNTRYSIDE/1308286.1.COUNTRYSIDE.jpg'],Reformation,Romance for one. The Lissa is fitted in the bodice with a full skirt. This dress has dramatic ruching detail on the bodice and removable spaghetti straps. It gives your shoulders some breathing room.,2022-06-01,Dresses,women,False
Delphi Silk Dress,This is a lightweight silk charmeuse fabric - 100% silk. Dry clean only,Ivory,"['0', '2', '4', '6', '8', '10']",USD698.00,https://www.thereformation.com/products/delphi-silk-dress/1310524IVO.html?dwvar_1310524IVO_color=IVO,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310524/IVORY/1310524.1.IVORY.jpg'],Reformation,"Schmancy. The Delphi is a long sleeve, maxi dress with a fitted bodice and an A-line skirt. It features a deep V neckline, center front slit, and twist front detail. It gives you a little bit of comfort and shape all in one.",2022-06-01,Long Dresses,women,False
Adia Top,"We buy verified aging, leftover, and over-ordered fabric from factories, other designers and fabric warehouses, called deadstock. This allows us to reuse and divert these materials from the landfill and into your closet. This is a deadstock tafetta fabric - content unknown. Dry clean only",White,"['0', '2', '4', '6', '8', '10', '12']",USD178.00,https://www.thereformation.com/products/adia-top/1311103WHT.html?dwvar_1311103WHT_color=WHT,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1311103/WHITE/1311103.1.WHITE.jpg'],Reformation,"Somebody's fancy. The Adia is a strapless, corset top with ruched detailing. It has a zipper closure and is fitted throughout the bodice for a little extra shape.",2022-06-01,Sleeveless Tops,women,False
Will Oversized Shirt,"Organic cotton doesn’t allow genetically modified seeds and restricts the use of many chemicals. It still uses water and land but it helps sustain the land it is grown on through crop rotations and natural ways of controlling pesticides. This is a stretch poplin fabric made with 98% Organically Grown Cotton, 2% Spandex. Wash cold + dry flat",White,"['XS', 'M', 'L', 'XL']",USD128.00,https://www.thereformation.com/products/will-oversized-shirt/1309967WHT.html?dwvar_1309967WHT_color=WHT,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1309967/WHITE/1309967.1.WHITE.jpg'],Reformation,"Top notch. The Will is a button down, long sleeve top with a collar. It's oversized for an extra roomy fit.",2022-06-01,Clothing,women,False
Alisa Dress,Viscose – aka rayon – is a man-made cellulosic fiber made from wood pulp. We’re committed to ensuring all our forest-based products come from sustainably managed forests. That’s why we work with the non-profit group Canopy to help drive positive change for all our forest products. This is a lightweight georgette fabric with a dry handfeel - 100% Viscose. Dry clean only,Tuli,['0'],USD248.00,https://www.thereformation.com/products/alisa-dress/1310025TLU.html?dwvar_1310025TLU_color=TLU,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310025/TULI/1310025.1.TULI.jpg'],Reformation,"Have you romanced yourself lately? The Alisa is collared, midi length dress with cap sleeves. It features a bustier seam detail, which gives the top a more fitted look and feel. It's fitted throughout the waist to give you a little extra shape.",2022-06-01,Dresses,women,False
Aviary Dress,This is a deadstock organza fabric made of 100% polyester. Dry clean only,Ivory,"['0', '2', '4', '6', '8', '10', '12']",USD298.00,https://www.thereformation.com/products/aviary-dress/1311029IVO.html?dwvar_1311029IVO_color=IVO,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1311029/IVORY/1311029.1.IVORY.jpg'],Reformation,"You've fallen. The Aviary is a relaxed fitting, mini dress with an empire waist. It features short, puffed sleeves, and a tie at the back neck. It has an elasticated, square neckline with ruffle details for a slightly fancier look.",2022-06-01, Short Dresses,women,False
Veria Silk Dress,This is a medium weight silk charmeuse fabric - 100% silk. Dry clean only,Ivory,"['0', '2', '4', '6', '8', '10', '12']",USD528.00,https://www.thereformation.com/products/veria-silk-dress/1310176IVO.html?dwvar_1310176IVO_color=IVO,['https://media.thereformation.com/image/upload/v1638824964/PRD-SFCC/1310176/IVORY/1310176.1.IVORY.jpg'],Reformation,"If you or someone you know has monogamy, we can help. The Veria is a sleeveless, maxi dress with an adjustable, halter neckline and a wrap front that ties at the back neck. It features an open back and a ruched bodice for a more sophisticated look. It gives you a little extra shape.",2022-06-01,Long Dresses,women,False
